"STATION","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USC00200228","2003-04",,,,,,,
"USC00200228","2003-05",,"-1.1","25.0",,"13.1","19.4","6.8"
"USC00200228","2003-06",,"2.8","32.8",,"17.8","24.3","11.3"
"USC00200228","2003-07",,"8.9","32.8","3.0","21.1","27.9","14.4"
"USC00200228","2003-08",,"10.6","32.8","3.8","21.4","28.2","14.6"
"USC00200228","2003-09",,"1.7","28.9","84.6","16.1","23.1","9.0"
"USC00200228","2003-10",,"-2.8","27.2","383.5","8.7","15.3","2.1"
"USC00200228","2003-11",,"-10.6","23.9","766.8","5.6","10.3","0.8"
"USC00200228","2003-12",,"-12.2","10.6","1360.1","-0.8","3.1","-4.7"
"USC00200228","2004-01","0.0","-23.3","12.8","2165.2","-7.6","-2.9","-12.4"
"USC00200228","2004-02","0.0","-19.4","10.6","2806.9","-3.8","1.8","-9.4"
"USC00200228","2004-03","0.0","-11.7","18.9","3260.6","3.7","8.5","-1.1"
"USC00200228","2004-04","4.2","-5.0","29.4","3547.5","8.9","15.8","2.0"
"USC00200228","2004-05","21.7","-3.3","28.9","3669.2","15.0","21.5","8.4"
"USC00200228","2004-06","66.6","5.6","32.2","3714.5","18.3","24.6","12.0"
"USC00200228","2004-07","155.1","7.8","32.2","9.2","20.9","27.1","14.7"
"USC00200228","2004-08","209.7","6.7","31.7","41.4","19.1","25.1","13.1"
"USC00200228","2004-09","252.7","2.8","30.6","83.6","18.4","25.9","10.8"
"USC00200228","2004-10","252.7","-2.2","26.1","323.6","10.6","16.7","4.5"
"USC00200228","2004-11","252.7","-7.8","17.8","730.9","4.8","9.5","0.0"
"USC00200228","2004-12","252.7","-21.1","14.4","1382.7","-2.7","1.3","-6.7"
"USC00200228","2005-01","0.0","-22.2","15.0","2108.1","-5.1","-0.4","-9.7"
"USC00200228","2005-02","0.0","-15.0","8.3","2692.5","-2.5","2.3","-7.3"
"USC00200228","2005-03","0.0","-13.9","20.0","3265.6","-0.1","5.1","-5.4"
"USC00200228","2005-04","0.6","-1.1","27.8","3529.0","9.6","16.8","2.3"
